Dataset,Algorithm,Nodes,Vehicles,Capacity,Time_s,TimeLimit,HitTimeLimit,Status,Cost,Routes
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,160.08,40,True,Optimal,556.0,"[[1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,140.15,120,True,Optimal,870.0,"[[1, 13, 35, 2, 51, 42, 20, 41, 43, 45, 1], [1, 18, 17, 36, 3, 37, 4, 29, 32, 27, 9, 49, 1], [1, 28, 8, 44, 25, 15, 26, 14, 24, 7, 1], [1, 40, 34, 50, 16, 46, 38, 6, 39, 12, 33, 23, 1], [1, 48, 19, 5, 22, 30, 21, 31, 10, 11, 47, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,140.19,120,True,Optimal,870.0,"[[1, 13, 35, 2, 51, 42, 20, 41, 43, 45, 1], [1, 18, 17, 36, 3, 37, 4, 29, 32, 27, 9, 49, 1], [1, 28, 8, 44, 25, 15, 26, 14, 24, 7, 1], [1, 40, 34, 50, 16, 46, 38, 6, 39, 12, 33, 23, 1], [1, 48, 19, 5, 22, 30, 21, 31, 10, 11, 47, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,160.11,40,True,Optimal,556.0,"[[1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,20.11,10,True,Optimal,924.0,"[[1, 22, 17, 51, 30, 3, 21, 35, 2, 6, 1], [1, 34, 46, 16, 45, 13, 50, 4, 36, 37, 39, 1], [1, 38, 5, 19, 18, 47, 12, 31, 40, 11, 28, 7, 1], [1, 41, 20, 43, 42, 49, 44, 25, 8, 27, 32, 29, 10, 1], [1, 48, 33, 23, 9, 24, 15, 26, 14, 1]]"
E-n51-k5.vrp,GA_CVRP,50,5,160,120.02,120,True,Time Limit,556,"[[1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,140.12,120,True,Optimal,870.0,"[[1, 13, 35, 2, 51, 42, 20, 41, 43, 45, 1], [1, 18, 17, 36, 3, 37, 4, 29, 32, 27, 9, 49, 1], [1, 28, 8, 44, 25, 15, 26, 14, 24, 7, 1], [1, 40, 34, 50, 16, 46, 38, 6, 39, 12, 33, 23, 1], [1, 48, 19, 5, 22, 30, 21, 31, 10, 11, 47, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,160.08,40,True,Optimal,556.0,"[[1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
A-n32-k5.vrp,HYBRID_GA_ILP_CANDIDATE,31,5,100,10.04,30,False,Optimal,971.0,"[[1, 3, 18, 20, 32, 22, 31, 1], [1, 4, 12, 19, 9, 5, 29, 24, 7, 17, 1], [1, 6, 26, 11, 30, 16, 23, 10, 15, 1], [1, 21, 28, 1], [1, 25, 8, 14, 2, 13, 27, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP_CANDIDATE,50,5,160,120.05,40,False,Optimal,556.0,"[[1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP_CANDIDATE,50,5,160,45.06,30,True,Optimal,657.0,"[[1, 2, 29, 4, 37, 36, 21, 22, 17, 3, 12, 1], [1, 7, 38, 11, 40, 46, 16, 34, 31, 35, 51, 30, 23, 1], [1, 14, 42, 41, 20, 43, 45, 18, 19, 15, 1], [1, 28, 33, 39, 10, 50, 6, 13, 48, 1], [1, 47, 49, 9, 32, 27, 8, 24, 44, 25, 26, 5, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP_CANDIDATE,50,5,160,160.04,40,True,Optimal,556.0,"[[1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP_CANDIDATE,50,5,160,600.15,300,True,Optimal,823.0,"[[1, 6, 40, 11, 49, 25, 44, 27, 15, 26, 41, 20, 38, 1], [1, 8, 24, 23, 4, 21, 36, 37, 29, 32, 9, 1], [1, 19, 14, 43, 45, 46, 16, 18, 47, 13, 1], [1, 39, 50, 31, 35, 22, 51, 10, 17, 3, 2, 1], [1, 48, 7, 33, 12, 30, 34, 42, 5, 28, 1]]"
E-n51-k5.vrp,GA_CVRP,50,5,160,300.0,300,True,Time Limit,823,"[[1, 48, 7, 33, 12, 30, 34, 42, 5, 28, 1], [1, 39, 50, 31, 35, 22, 51, 10, 17, 3, 2, 1], [1, 6, 40, 11, 49, 25, 44, 27, 15, 26, 41, 20, 38, 1], [1, 19, 14, 43, 45, 46, 16, 18, 47, 13, 1], [1, 8, 24, 23, 4, 21, 36, 37, 29, 32, 9, 1]]"
E-n51-k5.vrp,GA_CVRP,50,5,160,120.0,120,True,Time Limit,849,"[[1, 12, 30, 33, 7, 48, 34, 42, 5, 28, 1], [1, 39, 50, 31, 51, 35, 22, 10, 17, 3, 2, 1], [1, 6, 40, 11, 49, 25, 44, 27, 15, 26, 41, 20, 38, 1], [1, 19, 14, 43, 45, 46, 16, 18, 47, 13, 1], [1, 8, 24, 23, 36, 37, 4, 21, 29, 32, 9, 1]]"
E-n51-k5.vrp,GA_CVRP,50,5,160,120.03,120,True,Time Limit,556,"[[1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,GA_CVRP,50,5,160,120.04,120,True,Time Limit,556,"[[1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP,50,5,160,160.14,40,True,Optimal,556.0,"[[1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
E-n51-k5.vrp,HYBRID_GA_ILP_CANDIDATE,50,5,160,240.06,120,True,Optimal,556.0,"[[1, 10, 50, 11, 40, 31, 35, 51, 22, 30, 3, 33, 1], [1, 13, 38, 16, 34, 46, 45, 18, 5, 19, 1], [1, 28, 49, 9, 29, 32, 27, 8, 24, 44, 25, 7, 1], [1, 47, 6, 39, 12, 17, 21, 36, 37, 4, 23, 2, 1], [1, 48, 43, 41, 20, 42, 14, 26, 15, 1]]"
